ano;disciplina;conteudo
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;"Text Comprehension; Indefinite Adjectives and Pronouns"
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;"Text Comprehension; Degrees of Adjectives"
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;"Text Comprehension; Prepositions"
1º ANO ENSINO MÉDIO;LÍNGUA PORTUGUESA;"Text Comprehension; Modal Verbs"
1º ANO ENSINO MÉDIO;MATEMÁTICA;Potências de expoente de número inteiro
1º ANO ENSINO MÉDIO;MATEMÁTICA;Potências de expoente racional
1º ANO ENSINO MÉDIO;MATEMÁTICA;Técnicas algébricas
1º ANO ENSINO MÉDIO;MATEMÁTICA;Igualdades e desigualdades
1º ANO ENSINO MÉDIO;MATEMÁTICA;Modelagem algébrica de problemas
1º ANO ENSINO MÉDIO;MATEMÁTICA;Equações do 2º grau
1º ANO ENSINO MÉDIO;MATEMÁTICA;Introdução às funções
1º ANO ENSINO MÉDIO;MATEMÁTICA;Composição de funções
1º ANO ENSINO MÉDIO;MATEMÁTICA;Inversão de funções
1º ANO ENSINO MÉDIO;MATEMÁTICA;Função constante e função afim
1º ANO ENSINO MÉDIO;MATEMÁTICA;Função quadrática
1º ANO ENSINO MÉDIO;MATEMÁTICA;Introdução ao modelo exponencial
1º ANO ENSINO MÉDIO;MATEMÁTICA;Introdução aos logaritmos
1º ANO ENSINO MÉDIO;MATEMÁTICA;Equação e função Logarítmica
1º ANO ENSINO MÉDIO;MATEMÁTICA;Modelagem exponencial de problemas
1º ANO ENSINO MÉDIO;MATEMÁTICA;Sequências: progressão aritmética
1º ANO ENSINO MÉDIO;MATEMÁTICA;Sequências: progressão geométrica
1º ANO ENSINO MÉDIO;MATEMÁTICA;Matemática B
1º ANO ENSINO MÉDIO;MATEMÁTICA;Estatística: análise de dados
1º ANO ENSINO MÉDIO;MATEMÁTICA;Variações e proporcionalidade
1º ANO ENSINO MÉDIO;MATEMÁTICA;Grandezas proporcionais
1º ANO ENSINO MÉDIO;MATEMÁTICA;Porcentagem
1º ANO ENSINO MÉDIO;MATEMÁTICA;Ângulos em figuras planas
1º ANO ENSINO MÉDIO;MATEMÁTICA;Simetrias e congruências
1º ANO ENSINO MÉDIO;MATEMÁTICA;Segmentos proporcionais
1º ANO ENSINO MÉDIO;MATEMÁTICA;Semelhança de triângulos
1º ANO ENSINO MÉDIO;MATEMÁTICA;O triângulo retângulo
1º ANO ENSINO MÉDIO;MATEMÁTICA;Relações trigonométricas em polígonos
1º ANO ENSINO MÉDIO;MATEMÁTICA;Polígonos regulares e circunferência
1º ANO ENSINO MÉDIO;MATEMÁTICA;Áreas de polígonos
1º ANO ENSINO MÉDIO;MATEMÁTICA;Área do círculo e de suas Partes
1º ANO ENSINO MÉDIO;MATEMÁTICA;Razões entre áreas de figuras planas
1º ANO ENSINO MÉDIO;MATEMÁTICA;Áreas de figuras planas
1º ANO ENSINO MÉDIO;QUÍMICA;Origem dos modelos atômicos
1º ANO ENSINO MÉDIO;QUÍMICA;Características atômicas
1º ANO ENSINO MÉDIO;QUÍMICA;Modelo atômico de Bohr e distribuição eletrônica
1º ANO ENSINO MÉDIO;QUÍMICA;Tabela periódica e algumas propriedades periódicas
1º ANO ENSINO MÉDIO;QUÍMICA;Ligação iônica
1º ANO ENSINO MÉDIO;QUÍMICA;Ligação covalente
1º ANO ENSINO MÉDIO;QUÍMICA;Ligação metálica
1º ANO ENSINO MÉDIO;QUÍMICA;Alotropia e algumas propriedades das substâncias
1º ANO ENSINO MÉDIO;QUÍMICA;Forma e polaridade das moléculas
1º ANO ENSINO MÉDIO;QUÍMICA;Interações intermoleculares
1º ANO ENSINO MÉDIO;QUÍMICA;Radioatividade
1º ANO ENSINO MÉDIO;QUÍMICA;Leis Ponderais
1º ANO ENSINO MÉDIO;QUÍMICA;Cálculo estequiométrico: introdução
1º ANO ENSINO MÉDIO;QUÍMICA;Cálculo estequiométrico: reações com reagente limitante
1º ANO ENSINO MÉDIO;QUÍMICA;Cálculo estequiométrico: pureza dos reagentes e rendimento das reações
1º ANO ENSINO MÉDIO;QUÍMICA;Classificação das soluções e coeficiente de solubilidade
1º ANO ENSINO MÉDIO;QUÍMICA;Concentração de soluções: m/v e porcentagens
1º ANO ENSINO MÉDIO;QUÍMICA;Concentração de soluções: ppm e ppb
1º ANO ENSINO MÉDIO;QUÍMICA;Concentração de soluções: mol/L
1º ANO ENSINO MÉDIO;QUÍMICA;Relação entre unidades de concentração
1º ANO ENSINO MÉDIO;QUÍMICA;Manipulando soluções: diluição
1º ANO ENSINO MÉDIO;QUÍMICA;Manipulando soluções: mistura de soluções
1º ANO ENSINO MÉDIO;QUÍMICA;Manipulando soluções: titulação
1º ANO ENSINO MÉDIO;QUÍMICA;Pressão de vapor
1º ANO ENSINO MÉDIO;QUÍMICA;Símbolos e fórmulas químicas
1º ANO ENSINO MÉDIO;QUÍMICA;Classificação, características e propriedades físicas de sistemas
1º ANO ENSINO MÉDIO;QUÍMICA;Separação de misturas de sistemas heterogêneos
1º ANO ENSINO MÉDIO;QUÍMICA;Separação de misturas: sistemas homogêneos
1º ANO ENSINO MÉDIO;QUÍMICA;Equações químicas
1º ANO ENSINO MÉDIO;QUÍMICA;Aspectos quantitativos da matéria
1º ANO ENSINO MÉDIO;QUÍMICA;Introdução a Química Inorgânica
1º ANO ENSINO MÉDIO;QUÍMICA;Ácidos de Arrhenius
1º ANO ENSINO MÉDIO;QUÍMICA;Bases de Arrhenius
1º ANO ENSINO MÉDIO;QUÍMICA;Reações de neutralização
1º ANO ENSINO MÉDIO;QUÍMICA;Sais de Arrhenius
1º ANO ENSINO MÉDIO;QUÍMICA;Óxidos
1º ANO ENSINO MÉDIO;QUÍMICA;Algumas reações inorgânicas
1º ANO ENSINO MÉDIO;FÍSICA;A origem do Universo: a mitologia e o método científico
1º ANO ENSINO MÉDIO;FÍSICA;Interações entre corpos: causas e efeitos
1º ANO ENSINO MÉDIO;FÍSICA;O conceito de resultante e como obtê-la
1º ANO ENSINO MÉDIO;FÍSICA;As tendências naturais de movimento dos corpos
